state,year,mort_count,mort_rate,inc_count,inc_rate
California,1998,640.414881998768,3.814411343993822,3085.287362803489,18.37645477479
Wyoming,1998,8.397756972873669,3.511361647119053,39.129018866365904,16.36105171661
South Carolina,2013,123.94001959426268,5.0167806847061005,450.80019668826617,18.24725965681
Delaware,2013,24.3473674291335,5.045750760923506,96.0839906037358,19.91245542716
Montana,2013,20.655109171407705,4.09681702893539,79.38218752837486,15.744980816200002
Oklahoma,1998,87.09400194154212,5.044960390277571,400.27900761270297,23.18634686027
District of Columbia,1998,22.362272664532348,7.208136472184029,85.15467146927213,27.44830556368
Michigan,1998,207.20871070052883,4.141763943728074,887.9799953156365,17.74927084347
Oregon,1998,61.94503678564384,3.714087050729861,302.9247745152569,18.16269778425
Vermont,2013,12.678390079690471,3.9229109456924833,49.51319961694252,15.32023163135
New Jersey,2013,216.02631816347036,4.734453765675129,573.250657559614,12.56341707543
Alabama,2000,134.0366127607506,5.843239304531915,540.215441940872,23.55034224043
Idaho,2013,27.297216295092504,3.3075857893357874,107.83166856270492,13.0658925336
South Dakota,1998,12.107970108123682,3.260359596829644,56.00016816489496,15.079380281750002
Illinois,1998,312.0293942756092,5.037633844455417,1496.8232120595374,24.16582351077
New Mexico,2013,41.932763923641055,3.964778365960908,236.31813369336035,22.34407981448
Maine,2000,28.7730611130234,4.440449886387287,123.77295291461864,19.10146412815
Colorado,2000,64.16226334488574,2.992531136185468,320.69366462631496,14.957168381249998
Minnesota,2000,76.39322041435774,3.121998716583974,353.5214728399268,14.44753315156
Florida,2000,429.04097194827193,5.25878812347907,1739.1803084638457,21.31726652866
Mississippi,2000,87.31965682174335,5.96012437294499,347.9951017501241,23.75288867477
Georgia,2000,182.3000536757438,4.350102476623684,752.5649218373504,17.957946058130002
North Carolina,2000,190.46122633062416,4.629097455740699,810.4113453507936,19.69678117242
Nevada,2000,43.82200688385788,4.40748403632279,201.629903571241,20.27932183915
Indiana,2000,146.25056389984388,4.794558286349534,635.5137737399604,20.83416124166
Pennsylvania,2000,332.6279747048277,5.283713575460232,1365.894778876329,21.69690264988
Wisconsin,2013,100.35762388890733,3.464953614165229,388.893365744158,13.42695672679
Tennessee,2000,154.54819695827115,5.310296143212943,667.3263831981708,22.92942129838
Kansas,2013,63.033699208462565,4.349473263775694,239.5040943603346,16.52634492448
Nebraska,1998,34.352168521782524,4.031217953030935,162.16526455534782,19.03005120096
Washington,2000,94.42898833425146,3.191568819003181,521.586039968166,17.62888463548
Kentucky,2013,122.31707292707546,5.477543408518771,404.8039183715886,18.12773132775
Virginia,1998,152.00408128423683,4.285023894692716,763.5324740450218,21.5241253262
Georgia,2001,188.1887595552729,4.402178301820269,759.356443889111,17.76313563326
Alabama,2001,133.708263994708,5.7869991054781895,536.2917434568865,23.21112956625
Indiana,2001,142.10089412162097,4.630451964408747,620.2449340305021,20.21109290655
Nevada,2001,45.845606664219794,4.431168823216195,206.9646865739227,20.00399892993
Colorado,2001,68.7809501101989,3.143934877897999,335.9830990618069,15.35758057764
Hawaii,2014,26.331976041516693,3.7541739816492186,132.211853915427,18.84956530616
Maine,2001,28.731331441374284,4.42269499362809,122.86603655582162,18.91311601312
Florida,2001,421.0497717536792,5.0778796680356,1729.226844423543,20.85455550337
North Carolina,2001,186.57471501335536,4.451537838536852,798.5920597807412,19.05382930058
Minnesota,2001,70.25330198066027,2.8498386118778973,318.47176041107804,12.91886778306
Washington,2001,93.8844000466919,3.129502570347813,499.6653528292253,16.655631875100003
District of Columbia,1999,22.59890198088182,7.324476454597593,82.43424013625234,26.717565811
Alaska,2014,10.359649088927611,2.988866093478314,49.07120184151246,14.1575501343
Mississippi,2001,82.9465898252793,5.628204894182519,328.6857995426133,22.30243617646
South Dakota,1999,12.532524601742876,3.3562452890819285,55.96344428682926,14.987167567360002
Pennsylvania,2001,333.4206059099086,5.288239254571916,1364.0043127840536,21.63387931764
Iowa,2014,64.51428518545963,4.127886317580733,273.26911263646446,17.48486909258
Tennessee,2001,156.6063805760134,5.319404514394448,680.4418254642478,23.11237450763
Idaho,2014,28.11104136554613,3.346793747221413,110.87763696288611,13.20067005944
New Hampshire,2014,27.93636366676648,4.080168897808222,114.99848817731365,16.79578846957
Utah,2014,36.47739707013236,2.462540111052546,233.29909756266585,15.74970890921
Illinois,1999,323.6597780321985,5.201485856697127,1443.7129593043587,23.20168599449
California,1999,659.8276213859286,3.897389164649003,3073.8966968191835,18.15651738596
