state,year,mort_count,mort_rate,inc_count,inc_rate
United States of America,2012,6981.796522289631,4.373548766183984,27393.769353335927,17.16005125241
United States of America,2012,6981.796522289631,4.373548766183984,27393.769353335927,17.16005125241
United States of America,2015,7358.099896867552,4.503104095783602,28550.166365323683,17.47249601078
United States of America,2015,7358.099896867552,4.503104095783602,28550.166365323683,17.47249601078
United States of America,2014,7273.821255385393,4.485138152432578,28125.855124468737,17.34278881202
United States of America,2014,7273.821255385393,4.485138152432578,28125.855124468737,17.34278881202
United States of America,2016,7372.66679546081,4.480085563967561,28778.353493182964,17.48749667066
United States of America,2016,7372.66679546081,4.480085563967561,28778.353493182964,17.48749667066
United States of America,2018,7135.840602137202,4.280585071395061,27649.012362123616,16.58584547427
United States of America,2018,7135.840602137202,4.280585071395061,27649.012362123616,16.58584547427
United States of America,2017,7286.802940353064,4.3985822424095256,28505.865371224576,17.20718870164
United States of America,2017,7286.802940353064,4.3985822424095256,28505.865371224576,17.20718870164
United States of America,2019,7106.2536511886565,4.237821645638482,27372.078186086062,16.323366870479997
United States of America,2019,7106.2536511886565,4.237821645638482,27372.078186086062,16.323366870479997
United States of America,1996,6358.436009241882,4.61383874925012,30473.848607241474,22.11257978196
United States of America,1996,6358.436009241882,4.61383874925012,30473.848607241474,22.11257978196
United States of America,2021,7203.160654721676,4.257738724416125,27261.6162695142,16.11415388948
United States of America,2021,7203.160654721676,4.257738724416125,27261.6162695142,16.11415388948
United States of America,1993,6341.933708367803,4.731811586959306,30757.641449751736,22.94873628329
United States of America,1993,6341.933708367803,4.731811586959306,30757.641449751736,22.94873628329
United States of America,2002,6361.770449530687,4.369613740256955,26898.7572445199,18.47554547652
United States of America,2002,6361.770449530687,4.369613740256955,26898.7572445199,18.47554547652
