city,pop_2010,val,lower,upper,year,state
Anchorage,291826,4293.9,4161.1,4412.9,2014,Alaska
Anchorage,291826,4339.7,4208.5,4461.3,2016,Alaska
Birmingham,212044,7149.9,6877.1,7393.5,2014,Alabama
Birmingham,212044,7653.5,7445.5,7838.0,2016,Alabama
Hoover,81592,2396.6,2328.7,2453.4,2016,Alabama
Hoover,81592,2402.0,2332.8,2459.2,2014,Alabama
Huntsville,180005,4791.0,4643.3,4922.8,2014,Alabama
Huntsville,180005,4806.8,4660.6,4937.8,2016,Alabama
Mobile,195045,6009.5,5796.0,6205.3,2014,Alabama
Mobile,195045,6400.2,6233.7,6551.3,2016,Alabama
Montgomery,205733,4866.0,4704.1,5015.0,2014,Alabama
Montgomery,205733,5119.8,4988.3,5241.2,2016,Alabama
Tuscaloosa,90437,2647.5,2519.3,2762.5,2014,Alabama
Tuscaloosa,90437,2888.5,2791.3,2974.7,2016,Alabama
Fayetteville,73579,1227.8,1171.1,1278.4,2014,Arkansas
Fort Smith,86209,1533.3,1471.8,1592.7,2014,Arkansas
Jonesboro,67257,1067.8,1023.5,1109.2,2014,Arkansas
Little Rock,193515,4150.5,4027.5,4261.3,2014,Arkansas
Springdale,69797,1201.2,1154.8,1245.9,2014,Arkansas
Avondale,76215,1673.3,1626.5,1717.9,2014,Arizona
Chandler,236069,4906.3,4765.9,5029.7,2014,Arizona
Gilbert,208449,3807.0,3705.2,3894.0,2014,Arizona
Glendale,226617,4503.4,4361.9,4637.6,2014,Arizona
Mesa,439005,9558.6,9222.9,9868.9,2014,Arizona
Peoria,153981,3508.8,3396.8,3610.8,2014,Arizona
Phoenix,1444922,27451.0,26512.7,28338.0,2014,Arizona
Scottsdale,217340,5123.4,4956.9,5258.6,2014,Arizona
Surprise,117509,2290.0,2202.5,2364.6,2014,Arizona
Tempe,161719,3031.3,2907.6,3139.9,2014,Arizona
Tucson,520051,10511.9,10105.7,10890.4,2014,Arizona
Yuma,93026,2224.7,2139.7,2306.2,2014,Arizona
Alameda,73812,1292.0,1254.3999999999999,1325.9,2014,California
Alameda,73812,1311.7,1275.8,1343.6,2016,California
Alhambra,83089,1462.9,1397.1,1525.7,2014,California
Alhambra,83089,1576.3,1522.3999999999999,1627.5,2016,California
Anaheim,336229,5822.7,5634.7,6003.3,2014,California
Anaheim,336229,6130.4,5975.6,6276.0,2016,California
Antioch,102372,1616.9,1579.0,1652.7,2014,California
Antioch,102372,1660.8,1627.5,1692.8,2016,California
Apple Valley,69103,962.9,934.2,988.6999999999999,2014,California
Apple Valley,69103,993.3,968.9,1016.3,2016,California
Bakersfield,347397,6234.3,6037.7,6419.7,2014,California
Bakersfield,347397,6547.3,6380.1,6702.2,2016,California
Baldwin Park,75390,1397.9,1348.7,1447.2,2014,California
Baldwin Park,75390,1500.8,1463.8,1536.8,2016,California
Bellflower,76616,1428.6,1394.0,1460.7,2014,California
Bellflower,76616,1520.9,1495.2,1546.1,2016,California
Berkeley,112580,2698.8,2621.9,2765.3,2014,California
Berkeley,112580,2753.2,2677.8,2818.4,2016,California
Buena Park,80530,1384.2,1340.6000000000001,1425.5,2014,California
Buena Park,80530,1441.3,1404.5,1476.1,2016,California
Burbank,103340,1916.1,1870.3,1957.5,2014,California
Burbank,103340,1968.0,1929.4,2002.8,2016,California
Carlsbad,105326,1704.7,1654.1,1745.9,2014,California
Carlsbad,105326,1750.1,1707.3,1784.9,2016,California
Carson,91672,1510.8,1465.7,1553.2,2014,California
Carson,91672,1577.3,1541.0,1612.6,2016,California
Chico,86186,1795.8999999999999,1718.1,1866.4,2014,California
Chico,86186,1938.0,1870.1,1995.1,2016,California
Chino,77983,1488.8,1452.2,1524.0,2016,California
Chino,77983,1494.1,1456.4,1529.3,2014,California
Chino Hills,74799,983.1,958.3,1006.1,2016,California
Chino Hills,74799,1002.9,978.2,1025.0,2014,California
Chula Vista,243916,3823.4,3718.2,3922.7,2014,California
Chula Vista,243916,4019.3,3937.3,4096.7,2016,California
Citrus Heights,83301,1892.9,1839.1,1941.9,2014,California
Citrus Heights,83301,1901.5,1850.3,1948.3,2016,California
Clovis,95629,1867.2,1817.7,1912.3,2016,California
Clovis,95629,1889.9,1841.7,1933.3,2014,California
Compton,96455,2276.1,2198.0,2353.4,2014,California
Compton,96455,2496.4,2444.1,2547.1,2016,California
Concord,122052,2388.4,2324.9,2447.4,2014,California
Concord,122052,2416.4,2354.4,2472.1,2016,California
Corona,152374,2874.3,2801.4,2942.6,2014,California
Corona,152374,2955.9,2894.0,3015.2,2016,California
Costa Mesa,109958,2036.4,1975.0,2092.7,2014,California
Costa Mesa,109958,2099.0,2044.2,2148.2,2016,California
Daly City,101123,1509.6,1445.6,1569.5,2014,California
Daly City,101123,1530.9,1470.1,1588.5,2016,California
Downey,111741,1732.1,1686.4,1775.5,2014,California
Downey,111741,1797.3,1759.7,1832.3,2016,California
El Cajon,99478,2193.4,2125.1,2257.2,2014,California
El Cajon,99478,2384.6,2334.8,2431.6,2016,California
El Monte,113434,2164.5,2073.9,2255.9,2014,California
El Monte,113434,2426.2,2360.9,2491.9,2016,California
Elk Grove,153015,2283.1,2225.2,2337.0,2016,California
Elk Grove,153015,2311.6,2253.7,2363.7,2014,California
Escondido,143894,2599.7,2514.7,2679.5,2014,California
Escondido,143894,2811.5,2749.3,2869.4,2016,California
Fairfield,105305,2048.0,1995.5,2098.2,2014,California
Fairfield,105305,2146.5,2099.8,2191.3,2016,California
Folsom,72163,1344.6,1306.7,1377.7,2016,California
Folsom,72163,1387.4,1353.7,1416.2,2014,California
Fontana,196069,2802.8,2718.6,2884.4,2014,California
Fontana,196069,2909.2,2838.4,2977.2,2016,California
Fremont,214089,3445.7,3323.2,3547.8,2016,California
Fremont,214089,3463.7,3336.5,3568.4,2014,California
Fresno,494619,9309.3,8996.9,9608.3,2014,California
Fresno,494619,9873.6,9609.4,10128.8,2016,California
Fullerton,135161,2584.6,2496.1,2665.0,2014,California
Fullerton,135161,2689.2,2613.0,2759.7,2016,California
Garden Grove,170871,3049.0,2930.0,3164.8,2014,California
Garden Grove,170871,3272.0,3170.7,3369.7,2016,California
Glendale,191713,3261.2999999999997,3157.6,3356.5,2014,California
Glendale,191713,3451.8,3371.6,3524.4,2016,California
Hawthorne,84223,1692.7,1645.8,1737.7,2014,California
Hawthorne,84223,1804.8,1771.2,1836.8,2016,California
Hayward,144170,2854.1,2781.1,2923.8,2014,California
Hayward,144170,2931.0,2865.0,2993.4,2016,California
Hemet,78625,1678.8,1621.3,1732.2,2014,California
Hemet,78625,1836.5,1794.5,1876.6000000000001,2016,California
Hesperia,90162,1263.9,1225.4,1299.1,2014,California
Hesperia,90162,1325.7,1295.4,1355.0,2016,California
Huntington Beach,189992,3803.4,3695.9,3897.7,2014,California
Huntington Beach,189992,3842.7,3742.9,3932.7,2016,California
Indio,75997,1588.7,1523.8,1649.1,2014,California
